Condition,Drug Generic Name,EaseOfUse,Effective,Form,Indication,Price,Reviews,Satisfaction,Type,Drug Brand Name,Description
Acute Bacterial Sinusitis,Amoxicillin,3.852352941176471,3.655882352941176,Capsule,On Label,12.590000000000002,86.29411764705883,3.197647058823529,RX,"amoxicillin (Amoxicillin) capsuleamoxicillin (Amoxicillin) tablet, film coatedamoxicillin (Amoxicillin) tablet, chewableamoxicillin (Amoxicillin) suspension","Amoxicillin formulations contain amoxicillin, a semisynthetic antibiotic, an analog of ampicillin, with a broad spectrum of bactericidal activity against many gram-positive and gram-negative microorganisms. Chemically it is (2S,5R,6R)-6-[(R)-(-)-2- amino-2-(p-hydroxyphenyl)acetamido]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0] heptane-2-carboxylic acid trihydrate. It may be represented structurally as:The amoxicillin molecular formula is C16H19N3O5S•3H2O, and the molecular weight is 419.45.Amoxicillin capsules, tablets, and oral suspension are intended for oral administration.Capsules: Each amoxicillin capsule contains amoxicillin trihydrate equivalent to amoxicillin anhydrous 250 mg or 500 mg. Inactive ingredients: black iron oxide, colloidal silicon dioxide, croscarmellose sodium, D&C Yellow No. 10, FD&C Yellow No. 6, gelatin, magnesium stearate, microcrystalline cellulose, shellac, sodium lauryl sulfate and titanium dioxide. In addition 250 mg capsule contains FD&C Red No. 40 and 500 mg capsule contains D&C Red No. 28 and FD&C Blue No. 1.Tablets: Each amoxicillin tablet contains amoxicillin trihydrate equivalent to amoxicillin anhydrous 500 mg or 875 mg. Inactive ingredients: colloidal silicon dioxide, crospovidone, D&C Red No. 30 aluminum lake, hypromellose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, sodium starch glycolate, and titanium dioxide.Chewable Tablets 125 mg and 250 mg: Each amoxicillin chewable tablet contains amoxicillin trihydrate equivalent to amoxicillin anhydrous 125 mg, 200 mg, 250 mg or 400 mg. Inactive ingredients: aspartame•, FD&C Red No. 40 aluminum lake, magnesium stearate, mannitol and strawberry guarana flavor.  Additionally the 125 mg and 250 mg tablets contain corn starch, compressible sugar and talc, while the 200 mg and 400 mg tablets contain crospovidone.•See PRECAUTIONS.Powder for Oral Suspension: Each 5 mL of reconstituted suspension contains, 200 mg or 400 mg amoxicillin as the trihydrate.Each 5 mL of both the 200 mg and 400 mg reconstituted suspension contains 0.24 mEq (5.59 mg) of sodium.Amoxicillin trihydrate for oral suspension 200 mg/5 mL and 400 mg/5 mL is (reconstituted) a fruity flavor containing inactive ingredients: colloidal silicon dioxide, FD&C yellow no.6, flavor strawberry guarana, flavor tutti frutti, sodium benzoate, sodium citrate, sucrose, xanthan gum. "
Acute Bacterial Sinusitis,Amoxicillin,3.852352941176471,3.655882352941176,Capsule,On Label,12.590000000000002,86.29411764705883,3.197647058823529,RX,"amoxicillin (Amoxicillin) capsuleamoxicillin (Amoxicillin) tablet, film coatedamoxicillin (Amoxicillin) tablet, chewableamoxicillin (Amoxicillin) suspension","Amoxicillin formulations contain amoxicillin, a semisynthetic antibiotic, an analog of ampicillin, with a broad spectrum of bactericidal activity against many gram-positive and gram-negative microorganisms. Chemically it is (2S,5R,6R)-6-[(R)-(-)-2- amino-2-(p-hydroxyphenyl)acetamido]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0] heptane-2-carboxylic acid trihydrate. It may be represented structurally as:The amoxicillin molecular formula is C16H19N3O5S•3H2O, and the molecular weight is 419.45.Amoxicillin capsules, tablets, and oral suspension are intended for oral administration.Capsules: Each amoxicillin capsule contains amoxicillin trihydrate equivalent to amoxicillin anhydrous 250 mg or 500 mg. Inactive ingredients: black iron oxide, colloidal silicon dioxide, croscarmellose sodium, D&C Yellow No. 10, FD&C Yellow No. 6, gelatin, magnesium stearate, microcrystalline cellulose, shellac, sodium lauryl sulfate and titanium dioxide. In addition 250 mg capsule contains FD&C Red No. 40 and 500 mg capsule contains D&C Red No. 28 and FD&C Blue No. 1.Tablets: Each amoxicillin tablet contains amoxicillin trihydrate equivalent to amoxicillin anhydrous 500 mg or 875 mg. Inactive ingredients: colloidal silicon dioxide, crospovidone, D&C Red No. 30 aluminum lake, hypromellose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, sodium starch glycolate, and titanium dioxide.Chewable Tablets 125 mg and 250 mg: Each amoxicillin chewable tablet contains amoxicillin trihydrate equivalent to amoxicillin anhydrous 125 mg, 200 mg, 250 mg or 400 mg. Inactive ingredients: aspartame•, FD&C Red No. 40 aluminum lake, magnesium stearate, mannitol and strawberry guarana flavor.  Additionally the 125 mg and 250 mg tablets contain corn starch, compressible sugar and talc, while the 200 mg and 400 mg tablets contain crospovidone.•See PRECAUTIONS.Powder for Oral Suspension: Each 5 mL of reconstituted suspension contains, 200 mg or 400 mg amoxicillin as the trihydrate.Each 5 mL of both the 200 mg and 400 mg reconstituted suspension contains 0.24 mEq (5.59 mg) of sodium.Amoxicillin trihydrate for oral suspension 200 mg/5 mL and 400 mg/5 mL is (reconstituted) a fruity flavor containing inactive ingredients: colloidal silicon dioxide, FD&C yellow no.6, flavor strawberry guarana, flavor tutti frutti, sodium benzoate, sodium citrate, sucrose, xanthan gum. "
Acute Bacterial Sinusitis,Amoxicillin,3.852352941176471,3.655882352941176,Capsule,On Label,12.590000000000002,86.29411764705883,3.197647058823529,RX,"amoxicillin (Amoxicillin) capsuleamoxicillin (Amoxicillin) tablet, film coatedamoxicillin (Amoxicillin) tablet, chewableamoxicillin (Amoxicillin) suspension","Amoxicillin formulations contain amoxicillin, a semisynthetic antibiotic, an analog of ampicillin, with a broad spectrum of bactericidal activity against many gram-positive and gram-negative microorganisms. Chemically it is (2S,5R,6R)-6-[(R)-(-)-2- amino-2-(p-hydroxyphenyl)acetamido]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0] heptane-2-carboxylic acid trihydrate. It may be represented structurally as:The amoxicillin molecular formula is C16H19N3O5S•3H2O, and the molecular weight is 419.45.Amoxicillin capsules, tablets, and oral suspension are intended for oral administration.Capsules: Each amoxicillin capsule contains amoxicillin trihydrate equivalent to amoxicillin anhydrous 250 mg or 500 mg. Inactive ingredients: black iron oxide, colloidal silicon dioxide, croscarmellose sodium, D&C Yellow No. 10, FD&C Yellow No. 6, gelatin, magnesium stearate, microcrystalline cellulose, shellac, sodium lauryl sulfate and titanium dioxide. In addition 250 mg capsule contains FD&C Red No. 40 and 500 mg capsule contains D&C Red No. 28 and FD&C Blue No. 1.Tablets: Each amoxicillin tablet contains amoxicillin trihydrate equivalent to amoxicillin anhydrous 500 mg or 875 mg. Inactive ingredients: colloidal silicon dioxide, crospovidone, D&C Red No. 30 aluminum lake, hypromellose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, sodium starch glycolate, and titanium dioxide.Chewable Tablets 125 mg and 250 mg: Each amoxicillin chewable tablet contains amoxicillin trihydrate equivalent to amoxicillin anhydrous 125 mg, 200 mg, 250 mg or 400 mg. Inactive ingredients: aspartame•, FD&C Red No. 40 aluminum lake, magnesium stearate, mannitol and strawberry guarana flavor.  Additionally the 125 mg and 250 mg tablets contain corn starch, compressible sugar and talc, while the 200 mg and 400 mg tablets contain crospovidone.•See PRECAUTIONS.Powder for Oral Suspension: Each 5 mL of reconstituted suspension contains, 200 mg or 400 mg amoxicillin as the trihydrate.Each 5 mL of both the 200 mg and 400 mg reconstituted suspension contains 0.24 mEq (5.59 mg) of sodium.Amoxicillin trihydrate for oral suspension 200 mg/5 mL and 400 mg/5 mL is (reconstituted) a fruity flavor containing inactive ingredients: colloidal silicon dioxide, FD&C yellow no.6, flavor strawberry guarana, flavor tutti frutti, sodium benzoate, sodium citrate, sucrose, xanthan gum. "
Acute Bacterial Sinusitis,Amoxicillin,3.852352941176471,3.655882352941176,Capsule,On Label,12.590000000000002,86.29411764705883,3.197647058823529,RX,"amoxicillin (Amoxicillin) capsuleamoxicillin (Amoxicillin) tablet, film coatedamoxicillin (Amoxicillin) tablet, chewableamoxicillin (Amoxicillin) suspension","Amoxicillin formulations contain amoxicillin, a semisynthetic antibiotic, an analog of ampicillin, with a broad spectrum of bactericidal activity against many gram-positive and gram-negative microorganisms. Chemically it is (2S,5R,6R)-6-[(R)-(-)-2- amino-2-(p-hydroxyphenyl)acetamido]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0] heptane-2-carboxylic acid trihydrate. It may be represented structurally as:The amoxicillin molecular formula is C16H19N3O5S•3H2O, and the molecular weight is 419.45.Amoxicillin capsules, tablets, and oral suspension are intended for oral administration.Capsules: Each amoxicillin capsule contains amoxicillin trihydrate equivalent to amoxicillin anhydrous 250 mg or 500 mg. Inactive ingredients: black iron oxide, colloidal silicon dioxide, croscarmellose sodium, D&C Yellow No. 10, FD&C Yellow No. 6, gelatin, magnesium stearate, microcrystalline cellulose, shellac, sodium lauryl sulfate and titanium dioxide. In addition 250 mg capsule contains FD&C Red No. 40 and 500 mg capsule contains D&C Red No. 28 and FD&C Blue No. 1.Tablets: Each amoxicillin tablet contains amoxicillin trihydrate equivalent to amoxicillin anhydrous 500 mg or 875 mg. Inactive ingredients: colloidal silicon dioxide, crospovidone, D&C Red No. 30 aluminum lake, hypromellose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, sodium starch glycolate, and titanium dioxide.Chewable Tablets 125 mg and 250 mg: Each amoxicillin chewable tablet contains amoxicillin trihydrate equivalent to amoxicillin anhydrous 125 mg, 200 mg, 250 mg or 400 mg. Inactive ingredients: aspartame•, FD&C Red No. 40 aluminum lake, magnesium stearate, mannitol and strawberry guarana flavor.  Additionally the 125 mg and 250 mg tablets contain corn starch, compressible sugar and talc, while the 200 mg and 400 mg tablets contain crospovidone.•See PRECAUTIONS.Powder for Oral Suspension: Each 5 mL of reconstituted suspension contains, 200 mg or 400 mg amoxicillin as the trihydrate.Each 5 mL of both the 200 mg and 400 mg reconstituted suspension contains 0.24 mEq (5.59 mg) of sodium.Amoxicillin trihydrate for oral suspension 200 mg/5 mL and 400 mg/5 mL is (reconstituted) a fruity flavor containing inactive ingredients: colloidal silicon dioxide, FD&C yellow no.6, flavor strawberry guarana, flavor tutti frutti, sodium benzoate, sodium citrate, sucrose, xanthan gum. "
Acute Bacterial Sinusitis,Amoxicillin,3.852352941176471,3.655882352941176,Capsule,On Label,12.590000000000002,86.29411764705883,3.197647058823529,RX,"amoxicillin (Amoxicillin) capsuleamoxicillin (Amoxicillin) tablet, film coatedamoxicillin (Amoxicillin) tablet, chewableamoxicillin (Amoxicillin) suspension","Amoxicillin formulations contain amoxicillin, a semisynthetic antibiotic, an analog of ampicillin, with a broad spectrum of bactericidal activity against many gram-positive and gram-negative microorganisms. Chemically it is (2S,5R,6R)-6-[(R)-(-)-2- amino-2-(p-hydroxyphenyl)acetamido]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0] heptane-2-carboxylic acid trihydrate. It may be represented structurally as:The amoxicillin molecular formula is C16H19N3O5S•3H2O, and the molecular weight is 419.45.Amoxicillin capsules, tablets, and oral suspension are intended for oral administration.Capsules: Each amoxicillin capsule contains amoxicillin trihydrate equivalent to amoxicillin anhydrous 250 mg or 500 mg. Inactive ingredients: black iron oxide, colloidal silicon dioxide, croscarmellose sodium, D&C Yellow No. 10, FD&C Yellow No. 6, gelatin, magnesium stearate, microcrystalline cellulose, shellac, sodium lauryl sulfate and titanium dioxide. In addition 250 mg capsule contains FD&C Red No. 40 and 500 mg capsule contains D&C Red No. 28 and FD&C Blue No. 1.Tablets: Each amoxicillin tablet contains amoxicillin trihydrate equivalent to amoxicillin anhydrous 500 mg or 875 mg. Inactive ingredients: colloidal silicon dioxide, crospovidone, D&C Red No. 30 aluminum lake, hypromellose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, sodium starch glycolate, and titanium dioxide.Chewable Tablets 125 mg and 250 mg: Each amoxicillin chewable tablet contains amoxicillin trihydrate equivalent to amoxicillin anhydrous 125 mg, 200 mg, 250 mg or 400 mg. Inactive ingredients: aspartame•, FD&C Red No. 40 aluminum lake, magnesium stearate, mannitol and strawberry guarana flavor.  Additionally the 125 mg and 250 mg tablets contain corn starch, compressible sugar and talc, while the 200 mg and 400 mg tablets contain crospovidone.•See PRECAUTIONS.Powder for Oral Suspension: Each 5 mL of reconstituted suspension contains, 200 mg or 400 mg amoxicillin as the trihydrate.Each 5 mL of both the 200 mg and 400 mg reconstituted suspension contains 0.24 mEq (5.59 mg) of sodium.Amoxicillin trihydrate for oral suspension 200 mg/5 mL and 400 mg/5 mL is (reconstituted) a fruity flavor containing inactive ingredients: colloidal silicon dioxide, FD&C yellow no.6, flavor strawberry guarana, flavor tutti frutti, sodium benzoate, sodium citrate, sucrose, xanthan gum. "
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,3.47,3.29,Liquid (Drink),Off Label,287.37,43.0,2.59,RX,,
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,3.121428571428571,2.962857142857143,Tablet,On Label,70.60857142857144,267.2857142857143,2.2485714285714287,RX,,
Acute Bacterial Sinusitis,Ampicillin,2.0,3.0,Capsule,On Label,12.59,1.0,1.0,RX,"AMPICILLIN (ampicillin injection) powder, for solution","Ampicillin for Injection, USP the monosodium salt of [2S-[2α, 5α, 6β(S*)]]-6-[(aminophenylacetyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo [3.2.0] heptane-2-carboxylic acid, is a synthetic penicillin. It is an antibacterial agent with a broad spectrum of bactericidal activity against both penicillin-susceptible Gram-positive organisms and many common Gram-negative pathogens.Ampicillin for Injection, USP is a dry, white to off-white powder. The reconstituted solution is clear, colorless and free from visible particulates.Each vial of Ampicillin for Injection, USP contains ampicillin sodium equivalent to 250 mg, 500 mg, 1 gram or 2 grams ampicillin. Ampicillin for Injection, USP contains 65.8 mg [2.9 mEq] sodium per gram ampicillin.It has the following molecular structure:The molecular formula is C16H18N3NaO4S, and the molecular weight is 371.39. The pH range of the reconstituted solution is 8 to 10."
Acute Bacterial Sinusitis,Ampicillin,3.25,3.0,Tablet,On Label,125.24,15.0,3.0,RX,"AMPICILLIN (ampicillin injection) powder, for solution","Ampicillin for Injection, USP the monosodium salt of [2S-[2α, 5α, 6β(S*)]]-6-[(aminophenylacetyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo [3.2.0] heptane-2-carboxylic acid, is a synthetic penicillin. It is an antibacterial agent with a broad spectrum of bactericidal activity against both penicillin-susceptible Gram-positive organisms and many common Gram-negative pathogens.Ampicillin for Injection, USP is a dry, white to off-white powder. The reconstituted solution is clear, colorless and free from visible particulates.Each vial of Ampicillin for Injection, USP contains ampicillin sodium equivalent to 250 mg, 500 mg, 1 gram or 2 grams ampicillin. Ampicillin for Injection, USP contains 65.8 mg [2.9 mEq] sodium per gram ampicillin.It has the following molecular structure:The molecular formula is C16H18N3NaO4S, and the molecular weight is 371.39. The pH range of the reconstituted solution is 8 to 10."
Acute Bacterial Sinusitis,Ampicillin Sodium,3.0,3.0,Tablet,Off Label,143.215,1.0,3.0,RX,,
